mode;code;name;latitude;longitude;services
3;PH260;Parada 5 (M) Departamental;-33.50300477;-70.65494185;301-H05-H14
3;PH261;Av J J Prieto Vial Esq I Valdés Valdés;-33.47998291;-70.65684989;302
3;PH262;Av J J Prieto Vial Esq Enrique Matte;-33.48302044;-70.65831757;302
3;PH263;Parada Pasarela Enrique Matte;-33.48540426;-70.65943925;302
3;PH264;Av J J Prieto Vial Esq Jovino Troncoso;-33.48688308;-70.66012397;302
3;PH265;Av J J Prieto Vial Esq Ángel Guarello;-33.49208985;-70.66256973;302
3;PH266;Av J J Prieto Vial Esq Avenida La Marina;-33.49455418;-70.66373625;302
3;PH267;Av J J Prieto Vial Esq Avenida Lazo;-33.49717992;-70.6649705;302
3;PH268;Av J J Prieto Vial Esq Av Departamental;-33.50001025;-70.66641328;302
3;PH269;Av J J Prieto Vial Esq Vecinal;-33.50207289;-70.66727091;302
