punto_id;punto_name;punto_lat;punto_lon
2108;ROMAN SIGUENZA VALLES ENTRETENIMIENTOS E.I.R.L (S);-33.44326467;-70.71435662
2109;POLLA PROVIDENCIA 1304;-33.428699;-70.620155
2110;POLLA ESTADO 99;-33.441818;-70.649055
2111;POLLA COMPANIA 1001;-33.438709;-70.65136
2112;POLLA HUERFANOS 1125;-33.439683;-70.652705
2113;POLLA AHUMADA 154;-33.441296;-70.650604
2114;ALMACEN VALERIA;-33.38736307;-70.6400982
2115;BAZAR SANDYMIL;-33.453682;-70.538521
2116;MI KAYA;-33.4692056;-70.70891893
2117;ERIKA ANDREA MOLINA JIMENEZ;-33.40366167;-70.72480694
2118;EL LEGADO DE TOÑO;-33.567767;-70.569852
2119;TOLYS MARKET;-33.474274;-70.546974
2120;PAULINA ;-33.603577;-70.684662
2121;AMBAR;-33.449657;-70.705231
2122;ROLANDO GAMARRA;-33.429546;-70.734825
2123;TOTON;-33.399727;-70.755249
2124;ASAEL PASCAL;-33.55439;-70.64576
2125;VIRGENCITA DE CHAPI;-33.436445;-70.733584
2126;FLOR ELIANA;-33.417236;-70.726509
2127;EL LOMO DE TORO;-33.514755;-70.626266
2128;ROLANDO GAMARRA;-33.455714;-70.759983
2129;LOS CENTENOS IRL;-33.421174;-70.763174
2130;PICNIC MARKET;-33.445339;-70.64003
2131;HIJOS;-33.429935;-70.747581
2132;CAROLINA;-33.428696;-70.758194
2133;WALTER MEJIA SOMERE;-33.43179742;-70.75551994
2134;KIOSCO DANIELA ROJAS;-33.355927;-70.517044
