paradero;servicio;distancia
33780;10lI;16756
33781;10lI;17024
33782;10lI;17301
33783;10lI;17534
33784;10lI;17757
33785;10lI;18035
33786;10lI;18302
33787;10lI;18441
33788;10lI;18578
33789;10lI;18830
33790;10lI;18957
33791;10lI;19106
33792;10lI;19397
33793;10lI;19527
33794;10lI;19616
33795;10lI;19699
33797;10lI;20082
33798;10lI;20531
33799;10lI;20803
33800;10lI;21304
33801;10lI;21428
33802;10lI;21983
33803;10lI;22187
33804;10lI;22510
33805;10lI;22676
33806;10lI;23000
33829;10lI;24283
33830;10lI;24551
33831;10lI;24891
33662;10lI;25519
33832;10lI;26045
33833;10lI;26579
33834;10lI;27178
33835;10lI;28125
33836;10lI;28282
33837;10lI;28492
33838;10lI;28874
33839;10lI;29095
33840;10lI;29603
33841;10lI;29830
33842;10lI;30175
33843;10lI;30516
33844;10lI;30681
33845;10lI;31064
33846;10lI;31404
33847;10lI;31686
33848;10lI;32065
33849;10lI;32290
33850;10lI;32706
33851;10lI;32930
33852;10lI;33337
33853;10lI;33760
33854;10lI;33969
41796;10lI;34221
41956;10mI;1
41957;10mI;749
41958;10mI;949
41959;10mI;1358
41960;10mI;1534
41961;10mI;1878
41962;10mI;1993
41963;10mI;2360
41964;10mI;2614
41965;10mI;2818
41966;10mI;3117
41967;10mI;3336
41968;10mI;3758
42082;10mI;4172
39081;10mI;4943
32661;10mI;5334
32520;10mI;5413
32521;10mI;5599
32522;10mI;5789
32523;10mI;6172
32524;10mI;6527
32525;10mI;6743
32526;10mI;6951
32527;10mI;7153
32528;10mI;7378
32529;10mI;7879
32530;10mI;8303
32531;10mI;8616
32532;10mI;8952
32533;10mI;9278
32534;10mI;9566
32535;10mI;10022
32536;10mI;10367
32537;10mI;10725
32538;10mI;11061
32539;10mI;11336
32540;10mI;11568
33770;10mI;12649
33771;10mI;12895
33772;10mI;13270
33773;10mI;14139
33774;10mI;15386
33775;10mI;16686
33776;10mI;17110
33777;10mI;17492
33778;10mI;17789
33779;10mI;18036
33780;10mI;18295
33781;10mI;18562
33782;10mI;18840
33783;10mI;19073
33784;10mI;19295
33785;10mI;19574
33786;10mI;19840
33787;10mI;19980
33788;10mI;20117
33789;10mI;20369
33790;10mI;20496
33791;10mI;20645
33792;10mI;20936
33793;10mI;21065
33794;10mI;21154
33795;10mI;21238
33797;10mI;21620
33798;10mI;22070
33799;10mI;22342
33800;10mI;22842
33801;10mI;22967
33802;10mI;23522
33803;10mI;23725
33804;10mI;24049
33805;10mI;24214
33806;10mI;24539
33828;10mI;25204
33829;10mI;25813
33830;10mI;26081
33831;10mI;26422
33662;10mI;27050
33832;10mI;27576
33833;10mI;28110
33834;10mI;28709
33835;10mI;29656
33836;10mI;29813
33837;10mI;30023
33838;10mI;30404
33839;10mI;30625
33840;10mI;31134
33841;10mI;31361
33842;10mI;31706
33843;10mI;32047
33844;10mI;32212
33845;10mI;32595
33846;10mI;32934
33847;10mI;33217
33848;10mI;33595
33849;10mI;33820
33850;10mI;34236
33851;10mI;34461
33852;10mI;34868
33853;10mI;35291
33854;10mI;35499
41796;10mI;35751
40344;10nI;0
32694;10nI;295
32695;10nI;543
32696;10nI;900
32494;10nI;1167
32495;10nI;1457
32500;10nI;2086
32501;10nI;2302
32503;10nI;2590
32504;10nI;2901
32505;10nI;3077
32506;10nI;3298
32507;10nI;3534
32508;10nI;4207
32509;10nI;4441
32510;10nI;4779
32511;10nI;4906
32512;10nI;5198
32513;10nI;5484
32514;10nI;5898
32515;10nI;6177
32516;10nI;6630
32517;10nI;6905
32518;10nI;7063
32519;10nI;7209
32520;10nI;7383
32521;10nI;7570
32522;10nI;7760
32523;10nI;8143
32524;10nI;8498
32525;10nI;8713
32526;10nI;8921
32527;10nI;9123
32528;10nI;9349
32529;10nI;9850
32530;10nI;10274
32531;10nI;10587
32532;10nI;10922
32533;10nI;11248
32534;10nI;11537
32535;10nI;11993
32536;10nI;12338
32537;10nI;12696
32538;10nI;13031
32539;10nI;13307
32540;10nI;13539
33770;10nI;14620
33771;10nI;14866
33772;10nI;15241
33773;10nI;16110
33774;10nI;17357
33775;10nI;18656
33776;10nI;19081
33777;10nI;19463
33778;10nI;19760
33779;10nI;20007
33780;10nI;20266
33781;10nI;20533
33782;10nI;20810
33783;10nI;21044
33784;10nI;21266
33785;10nI;21544
33786;10nI;21811
33787;10nI;21951
33788;10nI;22087
33789;10nI;22339
33790;10nI;22467
33791;10nI;22616
33792;10nI;22907
33793;10nI;23036
33794;10nI;23125
33795;10nI;23209
33797;10nI;23591
33798;10nI;24040
33799;10nI;24313
33800;10nI;24813
33801;10nI;24937
33802;10nI;25492
33803;10nI;25696
33804;10nI;26020
33805;10nI;26185
33806;10nI;26509
33829;10nI;27792
33830;10nI;28060
