iLat;iLon;stops;services;route_segments;puntos
56;40;;MTRI/MTRR;15/35;
57;39;;MTRI/MTRR;11-12-13-14/36-37-38-39;
57;40;;MTRI/MTRR;11/39;
58;34;;;;1752
58;35;PG1597/PG1650/PG1947;G07I/G07R;41-42/0-1;
58;36;PG1570/PG1651;G07I/G07R;42/0;
58;37;PG1569/PG1571/PG1652;G07I/G07R;42/0;
58;38;PG1797;G07I/G07R;42/0;
58;39;PG1798/PG1799;G07I/G07R;42/0;
58;40;;MTRI/MTRR;11/39;
58;41;;MTRI/MTRR;11/39;
59;35;PG1643/PG1644;G07I/G07R;40-41/1-2;
59;36;;G07I/G07R;40/2;
59;39;;G07I/G07R;42/0;
59;40;PG1572;G07I/G07R;42-43/0;
59;41;;MTRI/MTRR;11/39;
59;42;;MTRI/MTRR;11/39;
60;36;PG1596/PG1645/PG1646;G07I/G07R;39-40/2-3;
60;42;;MTRI/MTRR;11/39;
60;55;;G02I/G02R/G14I/G14R;31-32-33-34/0-1-2/16-17-18-19/0-1-2;
61;36;PG1566;G07I/G07R;39/3;
61;37;PG1567/PG1647;G07I/G07R;37-38-39/3-4-5;
61;42;;MTRI/MTRR;11/39;
61;43;PG1607/PG1615/PG1702;211I/211R/G02I/MTRI/MTRR;44-45-46/0-1/16-17-18-19/11/39;
61;46;PG704;G02I/G02R;26-27/6-7;
61;53;PG1614/PG1630/PG711/PG718;G02I/G02R/G14I/G14R;31/2/16/2;
61;54;PG712/PG713/PG716/PG717;G02I/G02R/G14I/G14R;31/2/16/2;1804
61;55;PG714/PG715;G02I/G02R/G14I/G14R;31/2/16/2;
62;37;PG1565/PG1648;G07I/G07R;35-36-37/5-6-7;
62;38;PG1564/PG1649;G07I/G07R;34-35/7-8;
62;39;;G07I/G07R;34/8;
62;40;PG1768/PG1769;G07I/G07R;34/8;
62;41;;G07I/G07R;33-34/8-9;
62;42;PG1574/PG1641;211R/G02I/G07I/G07R;1-2/19-20/33/9-10-11;
62;43;PG1605;211I/211R/G02I/G07I/G07R/MTRI/MTRR;44/1-2/16-19-20-21/31-32-33/11/11/39;730
