Codigo;Abreviacion;Nombre;Linea;Dias;Apertura Estacion;Apertura Boletaria;Cierre boleteria;Cierre Estacion;Destino 1;Primer Tren D1;Ultimo tren D1;Destino 2;Primer Tren D2;Ultimo tren D2;Expreso
44;LH;Los Héroes;L2;Sábado;6:30;6:30;23:00;23:18;La Cisterna;6:36;23:19;Vespucio Norte;6:32;23:23;VERDE/ROJA
4;AN;Santa Ana;L2;Sábado;6:30;6:30;23:00;23:20;La Cisterna;6:34;23:18;Vespucio Norte;6:33;23:25;VERDE/ROJA
12;CA;Puente Cal y canto;L2;Sábado;6:30;6:30;23:00;23:22;La Cisterna;6:32;23:16;Vespucio Norte;6:35;23:27;VERDE/ROJA
72;PT;Patronato;L2;Sábado;6:30;6:30;23:00;23:23;La Cisterna;6:30;23:14;Vespucio Norte;6:37;23:28;ROJA
13;CB;Cerro Blanco;L2;Sábado;6:30;6:30;23:00;23:25;La Cisterna;6:36;23:13;Vespucio Norte;6:31;23:30;VERDE
14;CE;Cementerios;L2;Sábado;6:30;6:30;23:00;23:26;La Cisterna;6:35;23:11;Vespucio Norte;6:32;23:31;ROJA
25;EI;Einstein;L2;Sábado;6:30;6:30;23:00;23:28;La Cisterna;6:33;23:10;Vespucio Norte;6:34;23:33;VERDE
20;DO;Dorsal;L2;Sábado;6:30;6:30;23:00;23:29;La Cisterna;6:32;23:08;Vespucio Norte;6:35;23:34;ROJA
100;ZA;Zapadores;L2;Sábado;6:30;6:30;23:00;23:31;La Cisterna;6:31;23:07;Vespucio Norte;6:36;23:36;VERDE/ROJA
5;AV;Vespucio Norte;L2;Sábado;6:30;6:30;23:00;23:33;La Cisterna;6:36;23:05;Vespucio Norte;-;-;VERDE/ROJA
39;LC;La Cisterna;L2;Domingo;8:00;8:00;22:30;23:19;La Cisterna;-;-;Vespucio Norte;8:04;22:48;VERDE/ROJA
28;EP;El Parrón;L2;Domingo;8:00;8:00;22:30;23:17;La Cisterna;8:07;23:21;Vespucio Norte;8:06;22:49;VERDE
47;LO;Lo Ovalle;L2;Domingo;8:00;8:00;22:30;23:15;La Cisterna;8:06;23:20;Vespucio Norte;8:00;22:51;VERDE/ROJA
16;CN;Ciudad del Niño;L2;Domingo;8:00;8:00;22:30;23:14;La Cisterna;8:04;23:18;Vespucio Norte;8:01;22:52;ROJA
19;DE;Departamental;L2;Domingo;8:00;8:00;22:30;23:12;La Cisterna;8:03;23:17;Vespucio Norte;8:03;22:54;VERDE
53;LV;Lo Vial;L2;Domingo;8:00;8:00;22:30;23:11;La Cisterna;8:01;23:16;Vespucio Norte;8:04;22:55;ROJA
90;SM;San Miguel;L2;Domingo;8:00;8:00;22:30;23:10;La Cisterna;8:00;23:14;Vespucio Norte;8:05;22:56;VERDE
45;LN;El Llano;L2;Domingo;8:00;8:00;22:30;23:08;La Cisterna;8:07;23:13;Vespucio Norte;8:06;22:58;ROJA
29;FRA;Franklin;L2;Domingo;8:00;8:00;22:30;23:07;La Cisterna;8:06;23:12;Vespucio Norte;8:08;22:59;VERDE/ROJA
82;RO;Rondizzoni;L2;Domingo;8:00;8:00;22:30;23:05;La Cisterna;8:04;23:10;Vespucio Norte;8:01;23:01;VERDE
70;PQ;Parque O`Higgins;L2;Domingo;8:00;8:00;22:30;23:04;La Cisterna;8:02;23:08;Vespucio Norte;8:02;23:02;ROJA
94;TO;Toesca;L2;Domingo;8:00;8:00;22:30;23:04;La Cisterna;8:01;23:07;Vespucio Norte;8:04;23:04;VERDE
44;LH;Los Héroes;L2;Domingo;8:00;8:00;22:30;23:05;La Cisterna;8:08;23:05;Vespucio Norte;8:06;23:06;VERDE/ROJA
4;AN;Santa Ana;L2;Domingo;8:00;8:00;22:30;23:02;La Cisterna;8:06;23:03;Vespucio Norte;8:07;23:07;VERDE/ROJA
12;CA;Puente Cal y canto;L2;Domingo;8:00;8:00;22:30;23:05;La Cisterna;8:04;23:01;Vespucio Norte;8:10;23:10;VERDE/ROJA
72;PT;Patronato;L2;Domingo;8:00;8:00;22:30;23:06;La Cisterna;8:02;23:00;Vespucio Norte;8:11;23:11;ROJA
13;CB;Cerro Blanco;L2;Domingo;8:00;8:00;22:30;23:08;La Cisterna;8:01;22:58;Vespucio Norte;8:12;23:12;VERDE
14;CE;Cementerios;L2;Domingo;8:00;8:00;22:30;23:09;La Cisterna;8:08;22:57;Vespucio Norte;8:14;23:14;ROJA
25;EI;Einstein;L2;Domingo;8:00;8:00;22:30;23:11;La Cisterna;8:06;22:55;Vespucio Norte;8:15;23:15;VERDE
20;DO;Dorsal;L2;Domingo;8:00;8:00;22:30;23:12;La Cisterna;8:05;22:54;Vespucio Norte;8:17;23:17;ROJA
100;ZA;Zapadores;L2;Domingo;8:00;8:00;22:30;23:14;La Cisterna;8:03;22:52;Vespucio Norte;8:18;23:18;VERDE/ROJA
5;AV;Vespucio Norte;L2;Domingo;8:00;8:00;22:30;23:16;La Cisterna;8:01;22:51;Vespucio Norte;-;-;VERDE/ROJA
93;TB;Tobalaba;L4;Lunes a Viernes;6:00;6:00;23:00;23:30;Plaza Puente Alto;6:02;23:15;Tobalaba;-;-;VERDE/ROJA
17;CO;Cristobal Colón;L4;Lunes a Viernes;5:55;6:00;23:00;23:35;Plaza Puente Alto;5:55;23:16;Tobalaba;6:20;23:41;VERDE
8;BI;Francisco Bilbao;L4;Lunes a Viernes;6:00;6:00;23:00;23:30;Plaza Puente Alto;6:01;23:18;Tobalaba;6:19;23:39;VERDE/ROJA
30;GA;P. de Gales;L4;Lunes a Viernes;6:00;6:00;23:00;23:30;Plaza Puente Alto;6:03;23:20;Tobalaba;6:16;23:37;ROJA
86;SB;Simón Bolívar;L4;Lunes a Viernes;6:00;6:00;23:00;23:30;Plaza Puente Alto;6:00;23:22;Tobalaba;6:15;23:35;VERDE
24;PZE;Plaza Egaña;L4;Lunes a Viernes;5:55;6:00;23:00;23:25;Plaza Puente Alto;5:57;23:23;Tobalaba;6:13;23:34;VERDE/ROJA
62;OR;Los Orientales;L4;Lunes a Viernes;5:55;6:00;23:00;23:25;Plaza Puente Alto;5:59;23:25;Tobalaba;6:12;23:32;ROJA
79;RG;Grecia;L4;Lunes a Viernes;6:00;6:00;23:00;23:25;Plaza Puente Alto;6:00;23:27;Tobalaba;6:10;23:31;VERDE
48;LP;Los Presidentes;L4;Lunes a Viernes;6:00;6:00;23:00;23:25;Plaza Puente Alto;6:02;23:28;Tobalaba;6:09;23:29;ROJA
84;RQ;Quilín;L4;Lunes a Viernes;5:55;6:00;23:00;23:25;Plaza Puente Alto;5:58;23:30;Tobalaba;6:07;23:27;VERDE
52;LT;Las Torres;L4;Lunes a Viernes;6:00;6:00;23:00;23:25;Plaza Puente Alto;6:00;23:32;Tobalaba;6:06;23:25;ROJA
55;MC;Macúl;L4;Lunes a Viernes;5:55;6:00;23:00;23:25;Plaza Puente Alto;6:02;23:34;Tobalaba;6:04;23:24;VERDE/ROJA
99;VMI;Vicuña Mackenna;L4;Lunes a Viernes;5:55;6:00;23:00;23:50;Plaza Puente Alto;6:04;23:36;Tobalaba;6:01;23:21;VERDE/ROJA
98;VV;Vicente Valdés;L4;Lunes a Viernes;5:40;6:00;23:00;23:30;Plaza Puente Alto;6:06;23:38;Tobalaba;5:59;23:20;VERDE/ROJA
80;RM;Rojas Magallanes;L4;Lunes a Viernes;5:50;6:00;23:00;23:35;Plaza Puente Alto;6:07;23:40;Tobalaba;5:57;23:18;VERDE
95;TR;Trinidad;L4;Lunes a Viernes;5:50;6:00;23:00;23:35;Plaza Puente Alto;6:11;23:43;Tobalaba;5:54;23:14;ROJA
